bmi,age,gender,activity_level,fitness_goal,workout_category,diet_category,fitness_level
27.9,46,1,1,4,2,2,1
30.5,29,0,2,1,3,3,1
25.5,32,0,0,1,4,1,0
24.5,21,0,4,0,2,0,2
30.7,20,1,4,4,0,0,2
21.0,44,0,4,0,3,1,2
20.4,51,0,3,0,2,0,2
22.2,34,1,1,4,2,2,1
28.1,47,1,2,4,1,2,1
21.5,39,1,0,0,0,4,0
32.6,27,0,1,4,4,3,0
22.3,39,0,2,0,0,0,1
29.2,53,0,3,0,1,1,1
20.7,34,1,2,3,0,2,1
22.7,53,1,1,3,0,2,0
25.1,15,1,2,0,3,0,1
20.9,44,1,0,0,4,1,0
18.2,36,0,3,0,1,0,2
27.8,31,0,0,3,1,2,0
20.5,36,0,3,4,0,1,2
30.9,15,0,3,0,4,0,2
26.3,32,0,2,3,2,0,2
29.8,39,0,0,0,3,2,0
20.2,52,0,3,3,4,1,2
33.1,28,0,3,0,0,2,2
20.8,25,1,2,2,2,1,1
24.3,28,1,1,0,0,0,1
22.0,45,0,1,4,1,2,1
27.3,38,1,4,0,0,3,2
21.6,28,0,4,1,4,2,2
23.3,41,0,3,3,1,2,2
30.1,36,1,1,2,1,3,0
23.2,46,0,3,0,3,2,2
23.4,26,0,0,2,2,1,0
24.1,31,0,1,3,4,1,0
21.6,30,0,1,2,1,3,1
22.6,17,0,1,0,0,0,1
21.2,38,0,4,1,1,3,2
20.1,38,0,2,4,4,3,2
28.4,35,1,2,0,4,3,2
25.5,32,1,4,2,1,1,2
34.7,18,0,4,2,2,1,2
18.1,29,1,4,0,0,0,2
25.3,30,0,2,1,1,1,1
20.9,25,0,3,4,4,1,2
29.3,33,0,4,0,0,2,2
29.7,39,0,3,3,1,0,1
21.8,57,1,3,3,1,1,2
25.9,37,1,0,0,3,0,0
20.3,38,1,2,0,4,0,1
22.8,34,1,3,4,1,4,2
23.8,15,0,2,3,1,0,1
25.2,34,1,2,0,2,0,1
29.5,35,0,0,0,0,1,0
23.6,64,0,2,2,3,1,1
26.5,32,1,3,2,2,1,2
20.8,38,0,1,2,2,1,1
21.8,34,1,3,4,2,2,2
18.5,20,1,3,2,1,1,1
20.5,48,1,2,4,0,0,1
21.0,44,1,3,3,2,1,2
29.1,44,1,1,0,0,0,1
22.6,24,0,2,3,4,4,1
23.5,51,1,4,2,1,2,2
23.5,18,1,3,0,2,1,2
22.5,42,0,3,0,2,1,2
18.0,61,1,0,2,2,1,0
21.1,23,1,4,2,2,1,2
21.2,28,0,4,4,2,3,2
28.2,36,0,1,4,3,2,1
34.2,28,1,4,0,2,2,2
19.8,16,0,0,3,3,4,0
23.9,35,1,1,0,0,1,1
22.0,22,0,4,0,2,0,2
23.3,40,1,1,0,0,1,1
22.3,23,1,4,2,1,1,2
21.3,53,1,4,0,2,2,2
15.9,25,0,4,1,2,2,2
22.5,31,1,3,0,0,0,2
25.7,44,0,4,1,1,3,2
23.4,20,1,3,4,3,3,2
22.3,37,1,2,4,1,2,2
34.9,50,1,0,3,0,4,0
33.9,15,1,1,2,1,1,1
24.3,37,1,1,3,0,1,1
23.0,38,0,2,3,2,1,1
20.9,44,0,4,3,1,1,2
28.1,20,0,0,0,0,0,0
20.1,19,1,2,1,1,1,1
22.3,41,1,2,1,1,3,2
28.9,38,0,1,1,2,1,1
27.6,38,1,3,1,1,2,2
22.1,39,1,3,3,2,4,2
23.5,26,1,4,3,4,3,2
23.1,37,0,4,0,0,0,2
29.2,38,0,2,0,0,4,1
26.5,26,0,4,2,2,1,2
23.1,57,0,3,0,0,4,2
21.4,40,0,0,0,0,3,0
23.0,20,1,1,3,2,2,0
29.9,42,1,3,2,1,1,1
23.2,23,1,4,4,4,3,2
21.6,44,1,1,3,2,0,1
20.6,48,0,1,4,0,0,1
17.0,25,0,2,0,0,1,1
21.2,46,1,4,0,2,1,2
32.3,39,0,2,0,2,0,1
23.7,44,1,1,0,1,0,1
20.6,57,1,2,2,1,3,1
19.2,32,1,4,3,1,1,2
29.5,25,1,3,4,2,2,2
21.7,24,0,0,4,1,2,0
32.3,25,1,3,2,1,2,2
19.6,34,0,1,2,4,2,1
23.8,39,1,3,0,2,0,2
25.8,38,1,2,2,1,1,1
24.6,44,1,4,4,0,0,2
22.5,35,1,3,0,0,3,2
31.3,52,0,3,2,2,1,2
24.2,31,1,4,4,2,1,2
23.2,67,0,2,0,0,0,1
27.7,42,1,0,4,4,1,0
38.1,24,1,3,0,3,0,1
31.5,22,1,1,4,3,2,0
29.6,40,0,2,1,1,3,1
21.5,32,1,2,0,2,4,1
30.1,43,1,3,0,2,2,2
24.5,40,1,4,3,1,0,2
38.1,34,1,3,4,1,4,2
22.4,24,1,3,2,2,2,1
20.4,16,0,4,4,2,2,2
22.9,29,0,1,3,2,4,0
22.2,45,1,4,0,2,0,2
24.0,37,1,3,3,0,4,2
24.3,20,0,0,1,1,1,0
22.2,37,1,4,2,0,1,2
18.4,39,0,1,0,0,0,1
19.5,24,1,4,0,0,0,2
20.5,36,1,4,2,1,2,2
25.6,35,0,2,0,2,0,1
21.1,21,1,2,2,1,3,2
21.9,39,0,3,4,2,2,2
32.9,41,0,3,0,3,0,1
33.3,47,0,4,3,2,0,2
21.0,47,1,0,2,1,3,0
24.0,18,0,3,0,3,4,2
23.7,23,0,4,3,1,4,2
23.8,41,1,4,0,0,0,2
19.7,41,1,4,0,2,0,2
20.5,41,1,4,0,0,2,2
32.0,70,1,4,2,1,2,2
32.0,41,1,2,2,4,2,1
23.5,48,1,1,1,1,3,1
24.3,46,0,1,0,3,1,0
29.6,42,1,4,3,2,0,2
23.9,31,0,3,4,4,3,2
21.9,44,1,0,2,2,1,0
22.8,25,0,4,0,0,0,2
33.4,32,0,0,0,0,1,0
29.0,29,1,2,4,2,4,1
24.9,35,1,1,0,0,0,1
22.3,62,0,2,0,0,2,1
26.9,15,1,3,2,2,1,1
21.3,43,1,3,3,3,4,2
28.6,15,0,4,2,2,1,2
24.2,29,0,3,0,2,4,2
19.8,48,0,3,3,2,0,2
30.3,35,1,2,2,2,2,1
27.7,22,1,0,3,1,0,0
38.5,26,1,1,0,0,1,1
21.0,43,1,3,3,0,1,1
19.9,26,0,3,2,1,1,2
23.1,37,1,2,2,1,0,1
22.5,35,0,1,2,4,1,1
24.0,27,1,2,0,1,0,2
28.1,60,1,0,0,0,0,0
26.5,42,0,2,0,0,2,1
23.4,15,1,1,1,2,1,0
22.2,37,1,1,2,1,1,1
23.1,27,0,3,3,2,2,2
24.2,45,1,0,0,0,0,0
29.1,25,0,4,4,4,4,2
20.1,33,0,3,0,0,1,1
29.4,41,0,2,1,1,2,2
24.1,45,0,2,0,0,1,1
21.0,20,1,1,3,1,0,1
28.1,30,1,1,3,3,0,0
19.9,29,1,1,4,3,2,0
23.6,27,0,4,1,1,3,2
21.5,56,1,4,0,4,0,2
23.9,39,1,3,3,0,1,2
17.7,19,1,4,3,0,2,2
27.0,46,1,1,4,4,0,1
24.6,60,0,3,0,0,2,2
29.1,47,0,3,3,1,4,2
23.3,16,1,0,0,0,0,0
22.7,29,0,4,2,2,1,2
21.0,50,1,2,0,2,0,1
27.7,26,1,2,3,2,1,1
22.1,40,1,0,2,1,1,0
18.5,44,0,1,0,0,2,1
29.7,23,1,0,1,1,2,0
24.8,34,0,1,1,1,2,1
22.2,15,0,4,0,2,0,2
20.3,22,1,4,0,0,4,2
20.6,31,0,3,1,1,2,2
31.0,20,0,3,3,0,4,2
21.4,54,1,3,1,1,2,2
20.3,17,0,3,1,1,2,2
20.7,29,0,2,4,4,2,1
23.2,36,1,3,0,1,0,2
21.7,52,1,3,3,4,1,2
26.2,17,0,3,2,1,1,1
19.9,48,1,1,4,4,1,0
28.8,35,1,3,1,1,3,2
19.4,23,0,0,3,1,1,0
30.4,40,0,3,0,2,0,1
25.9,37,1,3,4,3,1,2
24.1,27,0,2,1,1,2,1
27.0,35,1,3,2,1,4,2
26.4,30,1,1,0,0,2,0
34.6,36,0,4,4,4,4,2
24.1,42,0,3,3,1,1,2
36.5,54,1,3,0,2,0,2
34.1,20,1,3,0,0,1,2
31.0,60,1,2,1,1,1,1
21.9,15,1,4,0,2,0,2
19.2,33,0,2,1,4,3,1
25.8,42,1,2,4,0,2,2
23.4,38,0,2,3,3,1,1
24.3,27,0,1,4,4,0,1
23.8,32,1,4,2,1,2,2
22.8,29,0,1,3,4,1,0
21.2,27,0,1,2,1,2,0
22.0,45,1,4,1,1,2,2
21.2,39,0,1,2,4,1,1
23.2,26,0,4,2,1,4,2
22.7,45,1,3,4,3,3,1
27.6,38,1,2,2,1,1,1
19.0,44,1,1,3,2,0,1
27.4,42,1,4,3,2,0,2
23.9,25,1,0,2,2,2,0
27.8,28,1,1,2,1,3,1
22.4,43,1,1,1,1,1,0
31.6,42,0,4,0,2,0,2
20.2,34,0,0,3,1,4,0
24.1,36,1,0,4,2,1,0
28.5,50,0,3,0,0,1,2
23.7,27,0,1,4,4,4,1
32.2,41,1,2,0,4,2,1
25.1,32,0,1,2,1,1,1
24.7,32,1,2,1,1,3,2
31.6,48,0,2,0,1,1,1
20.9,44,1,4,0,0,3,2
29.1,44,0,1,1,1,1,1
21.9,50,0,4,0,1,0,2
22.9,35,0,3,0,2,1,2
18.7,43,1,2,0,2,0,1
27.3,31,0,0,0,2,0,0
23.8,38,0,2,0,3,0,1
17.2,33,1,3,2,1,0,2
20.4,36,1,2,3,4,0,2
21.6,42,0,4,0,1,0,2
29.3,25,0,1,0,0,1,1
23.0,60,0,0,3,2,4,0
31.2,22,0,4,0,0,1,2
23.2,20,1,1,3,2,3,0
23.7,48,0,0,0,0,2,0
26.2,44,0,3,0,0,0,2
25.3,42,1,2,0,2,1,2
25.3,42,0,0,0,4,1,0
23.9,34,0,3,3,2,3,2
35.9,24,0,1,0,2,1,0
25.0,35,1,0,4,0,2,0
21.5,26,1,3,1,1,1,2
29.1,46,0,1,4,2,3,0
22.1,33,0,4,0,2,0,2
30.8,25,1,2,0,1,0,1
19.7,31,0,3,2,1,2,2
33.0,39,0,4,0,0,3,2
23.2,28,1,1,3,0,4,1
20.8,25,1,0,2,1,1,0
23.6,37,1,2,3,0,1,1
24.8,37,0,1,0,1,1,1
21.6,28,0,3,2,1,3,2
22.9,29,0,2,2,4,1,1
21.7,37,0,4,3,3,0,2
30.3,17,1,2,0,3,4,1
21.8,18,0,4,4,1,2,2
27.7,26,0,1,4,2,2,1
28.6,32,1,0,4,1,2,0
20.5,38,1,2,2,2,1,2
24.0,52,0,0,2,2,1,0
24.2,45,1,0,0,1,4,0
23.9,33,1,2,4,3,0,1
29.0,34,0,2,4,2,0,1
23.4,22,0,0,0,0,0,0
26.0,34,0,3,1,2,2,1
30.1,31,0,3,4,0,1,2
23.7,38,1,2,0,0,0,1
24.0,25,1,0,0,2,1,0
28.8,41,0,0,4,1,1,0
22.7,53,0,1,3,2,1,0
21.8,33,1,0,4,3,1,0
27.2,39,0,3,0,2,1,1
30.4,43,0,1,0,4,2,0
28.2,30,0,3,2,1,1,2
31.7,37,0,4,2,1,1,2
33.4,35,1,2,0,3,2,1
30.4,36,0,4,4,4,1,2
23.1,25,1,2,4,4,3,1
22.0,35,0,3,0,0,0,1
33.8,40,0,3,0,3,2,2
27.7,52,1,4,0,2,1,2
26.7,46,0,2,2,2,3,1
28.3,60,1,2,0,0,0,1
21.6,25,0,1,2,1,3,0
22.5,45,0,0,2,1,1,0
28.2,37,0,1,4,4,2,0
23.7,61,0,3,0,1,1,2
20.8,25,0,4,2,1,2,2
23.3,24,1,2,3,0,0,1
32.2,27,1,1,2,1,3,1
24.1,15,0,4,4,2,1,2
21.4,28,0,4,2,1,4,2
21.9,25,1,0,4,1,4,0
21.5,36,1,2,0,1,0,1
26.9,39,0,4,2,1,2,2
34.1,57,0,2,2,1,1,1
20.5,46,1,1,4,1,2,1
22.7,28,0,4,0,3,0,2
21.6,24,1,4,0,0,1,2
29.8,40,0,1,2,4,2,0
24.0,19,1,2,0,2,0,1
34.0,56,1,2,2,2,3,0
29.4,49,0,4,4,2,1,2
28.8,29,1,1,4,1,3,1
31.7,15,0,3,0,0,1,2
31.4,51,0,2,0,0,1,1
22.8,33,0,3,2,2,2,2
21.5,49,0,4,2,1,3,2
25.4,15,1,3,3,1,1,2
31.7,27,0,3,3,0,4,1
21.5,35,0,2,2,3,1,1
32.5,35,0,4,0,2,2,2
22.6,29,0,3,3,1,0,2
19.3,42,1,2,0,2,0,1
31.8,22,0,3,0,2,1,2
19.6,33,1,2,3,3,2,2
32.0,36,1,4,2,2,1,2
24.6,41,1,1,3,1,1,1
19.3,43,0,2,1,1,2,2
24.1,21,0,2,0,0,0,1
21.6,16,0,3,1,1,1,2
20.5,50,0,4,2,1,3,2
27.5,38,1,0,0,3,0,0
24.8,26,1,0,3,2,0,0
23.1,53,0,1,3,2,1,1
23.1,36,0,4,2,0,1,2
23.7,49,0,2,4,4,2,1
20.6,35,0,0,4,0,4,0
23.0,59,0,1,4,4,1,1
28.8,56,0,4,3,2,4,2
25.3,32,0,1,1,1,3,0
25.8,46,1,0,2,1,1,0
21.4,42,1,3,3,2,2,2
21.6,51,1,3,0,1,4,2
24.0,23,1,4,3,0,1,2
17.6,43,0,1,2,1,3,0
21.1,47,0,2,0,0,0,1
22.7,15,0,0,2,2,3,0
24.7,20,0,3,0,2,0,2
21.4,15,0,3,0,0,0,2
21.9,31,1,1,4,4,2,0
16.8,43,0,3,2,1,1,1
22.4,53,1,1,2,2,1,1
32.0,35,0,0,0,4,0,0
24.5,54,1,1,2,1,1,1
31.2,18,0,3,0,2,0,2
20.9,15,1,1,3,1,1,0
19.5,34,0,3,3,1,2,2
22.0,39,0,4,4,4,2,2
21.9,34,0,3,0,2,0,2
21.3,15,0,3,2,1,1,2
30.2,33,1,3,3,0,4,1
23.8,19,0,4,0,4,2,2
29.6,43,1,2,0,2,0,1
21.5,39,0,3,3,2,0,2
30.1,23,1,2,3,2,1,1
22.9,28,0,0,2,1,1,0
20.9,22,0,1,0,4,1,1
27.6,34,1,2,2,1,1,1
33.4,46,0,0,1,3,2,0
28.3,23,0,1,2,1,0,0
25.6,41,1,3,2,2,1,2
26.0,28,0,3,2,1,1,2
21.7,25,1,3,3,4,0,2
20.6,33,0,4,3,4,4,2
20.0,22,1,4,2,1,1,2
24.1,28,1,4,0,2,4,2
25.6,20,1,4,1,2,3,2
35.9,58,1,0,0,0,0,0
21.2,35,0,0,2,1,3,0
22.6,26,0,3,4,2,1,2
22.8,37,1,1,2,4,1,1
28.7,33,0,4,0,0,0,2
26.5,32,0,1,0,2,2,1
29.6,42,0,0,0,2,0,0
29.6,44,1,4,0,2,0,2
32.1,28,0,0,2,1,2,0
31.5,28,0,0,1,1,1,0
24.4,31,1,2,0,2,0,1
26.7,15,0,0,0,2,2,0
22.8,16,1,3,3,0,4,2
26.1,51,1,0,2,1,2,0
28.8,54,1,4,3,0,0,2
23.6,32,0,3,0,3,0,2
24.6,41,0,0,3,1,1,0
23.6,38,1,3,2,1,0,2
22.8,70,1,0,0,2,0,0
24.4,48,1,3,0,0,0,2
27.4,33,1,1,1,0,3,0
21.1,23,1,2,2,1,2,1
26.5,15,1,3,0,1,0,2
23.2,37,0,4,3,1,0,2
25.9,25,1,2,0,3,0,2
28.3,17,1,2,2,1,2,1
22.7,27,1,0,1,1,2,0
24.5,22,0,3,2,1,1,2
21.8,55,0,2,4,0,0,1
28.0,45,0,4,4,0,4,2
27.7,34,0,4,0,0,1,2
28.3,52,1,4,1,1,2,2
21.1,35,0,0,3,1,1,0
22.8,24,1,1,1,4,3,0
26.4,53,1,3,2,2,1,2
22.3,41,1,2,4,0,2,2
27.9,22,1,3,2,1,1,2
29.9,32,1,2,0,2,3,1
22.0,24,1,0,3,0,0,0
24.5,18,0,3,4,4,2,2
23.4,46,0,0,3,1,0,0
32.2,57,0,0,2,1,3,0
23.7,18,0,3,4,0,2,1
28.0,41,0,3,4,4,2,2
34.4,27,1,2,4,2,4,1
22.4,29,0,4,2,2,2,2
28.3,27,0,0,3,3,0,0
18.6,24,0,1,3,2,1,1
27.2,35,1,2,0,3,3,1
23.6,25,1,2,2,2,1,2
29.6,38,1,4,3,0,1,2
30.4,34,0,4,4,1,1,2
23.6,32,0,0,4,1,1,0
26.6,24,0,2,0,2,0,1
31.4,28,0,2,2,4,1,1
29.5,44,0,1,2,2,0,0
27.5,41,1,0,4,4,2,0
22.9,23,0,0,0,1,4,0
21.1,36,1,4,3,4,4,2
26.6,44,0,0,2,1,1,0
22.8,15,1,1,4,4,2,1
21.7,41,1,0,2,1,2,0
28.5,27,1,3,3,4,1,2
25.3,41,1,3,4,3,1,2
26.9,25,0,1,3,1,0,1
27.1,15,0,4,0,1,1,2
31.9,15,0,2,0,2,0,1
22.2,35,1,0,3,2,1,0
26.1,38,0,4,1,2,2,2
28.4,24,0,4,3,4,1,2
29.5,42,0,0,3,2,2,0
26.0,15,0,2,4,1,2,1
31.9,34,1,0,2,1,1,0
28.5,20,1,2,3,4,2,1
25.0,27,0,1,0,3,4,1
22.6,35,0,2,2,1,2,1
26.2,24,0,4,0,0,2,2
26.3,30,1,1,3,2,4,1
25.1,47,1,3,3,3,0,2
25.3,28,1,1,0,2,0,1
34.7,45,0,2,1,1,1,1
23.3,21,1,1,3,0,4,0
20.7,41,1,1,3,4,3,1
15.0,52,1,3,3,0,0,1
22.6,15,1,2,4,4,0,1
23.2,25,1,4,4,4,2,2
29.6,41,0,1,2,1,2,0
21.4,32,0,0,1,1,1,0
19.2,39,0,4,2,2,2,2
29.6,27,0,1,3,0,1,1
26.4,36,1,4,2,1,1,2
20.0,33,0,0,3,0,2,0
21.7,49,0,4,0,2,0,2
21.0,38,0,4,4,4,2,2
25.1,39,1,0,3,2,0,0
20.9,30,0,0,1,1,2,0
25.3,29,1,0,1,1,1,0
28.1,29,1,3,0,2,0,2
20.4,39,1,0,3,2,0,0
26.1,29,0,4,3,1,4,2
18.4,38,1,0,2,1,1,0
20.7,59,0,1,0,0,1,1
22.1,45,0,0,0,4,2,0
21.2,31,0,0,2,1,2,0
26.7,49,1,2,0,0,0,2
20.8,30,1,4,2,2,2,2
21.7,15,0,4,0,0,0,2
22.6,22,1,1,1,2,1,1
33.1,15,1,3,3,2,2,1
18.8,30,1,2,4,3,2,2
23.2,35,0,1,1,4,2,1
27.4,55,1,1,3,2,4,0
31.6,38,1,4,0,0,0,2
23.5,32,0,2,2,1,1,1
30.4,44,1,4,4,2,2,2
19.4,15,0,3,0,2,1,2
31.1,37,1,4,0,2,2,2
22.8,44,1,0,0,0,0,0
22.5,17,1,4,2,1,1,2
20.4,48,1,0,3,2,0,0
22.3,39,1,1,0,2,1,1
28.9,30,1,3,0,2,1,2
31.3,42,0,0,4,3,2,0
34.3,62,1,3,2,1,0,1
24.4,37,1,4,2,2,1,2
28.6,37,1,4,4,0,2,2
30.9,29,0,1,1,1,1,0
24.8,24,0,4,4,2,3,2
28.3,44,0,0,4,2,4,0
19.1,24,1,1,0,3,4,0
23.7,35,1,3,2,4,3,2
20.4,29,0,1,2,1,1,0
23.5,40,0,3,4,0,1,2
23.1,39,0,2,1,1,3,1
26.4,47,1,0,3,2,1,0
29.5,28,0,0,4,1,0,0
30.4,31,1,3,3,2,4,1
23.9,23,1,4,4,1,2,2
21.7,29,1,4,3,1,2,2
23.6,39,0,2,4,1,2,1
21.8,44,1,3,0,0,0,2
22.4,23,0,2,3,3,1,1
30.5,45,0,3,3,0,2,2
21.2,51,0,2,2,1,3,1
24.9,39,0,3,0,2,0,2
20.7,57,1,0,2,1,0,0
22.5,25,1,2,0,2,0,1
20.5,20,1,2,1,2,3,1
30.7,15,1,3,1,1,1,1
23.1,52,0,1,4,0,2,1
21.7,42,0,1,0,0,0,1
30.6,34,0,0,3,4,2,0
31.1,38,0,4,0,3,1,2
20.3,21,1,4,2,1,4,2
20.7,64,0,0,2,1,1,1
21.5,36,1,4,2,2,1,2
27.2,36,0,3,3,0,1,2
21.1,43,0,1,3,0,1,0
38.0,40,0,0,3,4,0,0
27.3,37,0,3,2,1,2,2
24.7,25,1,0,3,1,1,0
25.3,40,1,1,2,2,2,1
23.2,57,1,4,0,2,1,2
20.0,51,1,3,4,0,1,2
26.9,54,0,1,4,1,0,1
23.2,28,0,0,1,0,2,0
21.3,23,1,2,4,4,1,2
19.9,33,1,3,3,1,1,2
18.0,35,0,0,2,1,2,0
26.3,48,0,0,1,1,1,0
33.2,15,1,1,4,1,1,0
28.7,53,1,0,3,2,4,0
20.7,33,1,3,1,2,2,2
32.4,29,0,3,2,1,1,1
21.6,22,1,0,2,1,1,0
21.4,15,1,1,2,2,3,2
18.4,44,1,3,2,1,1,1
28.3,35,1,2,2,4,3,1
22.5,19,1,4,3,1,3,2
26.2,19,0,1,4,4,2,0
27.7,30,1,1,4,4,2,1
21.4,55,0,4,3,3,0,2
21.3,31,1,4,4,2,3,2
29.1,16,1,3,4,2,4,2
30.0,32,1,0,0,2,1,0
27.2,31,0,0,4,4,2,0
33.2,15,0,2,0,1,0,1
26.8,34,0,0,1,2,3,0
23.3,32,1,2,2,4,1,2
32.7,43,1,2,2,1,1,1
24.2,57,0,1,2,1,1,1
22.4,48,0,1,3,2,0,1
32.4,31,1,3,0,0,0,2
28.7,21,0,4,4,3,1,2
28.4,65,1,4,2,1,2,2
23.6,35,0,2,4,1,2,2
20.8,35,0,4,1,1,3,2
30.8,34,0,2,2,1,1,1
30.0,37,1,4,2,1,1,2
31.4,33,1,3,3,0,4,1
26.2,28,0,1,0,2,4,1
27.7,28,1,1,2,1,3,1
23.7,34,1,2,0,2,2,1
31.3,28,1,4,2,1,2,2
20.0,26,1,0,4,2,2,0
30.5,36,0,3,0,0,1,2
22.1,31,1,4,3,2,4,2
20.4,53,1,0,3,0,0,0
21.1,15,0,3,0,0,2,1
24.4,48,1,3,0,2,0,2
24.7,49,1,1,0,0,1,1
22.6,15,1,2,0,2,4,1
21.2,30,0,4,0,0,0,2
20.4,30,0,3,1,1,1,2
22.5,18,1,4,1,2,3,2
23.8,25,1,3,3,1,4,2
19.6,21,0,1,3,4,4,1
22.1,56,0,2,3,2,4,2
32.8,46,0,0,2,1,3,0
21.2,50,1,0,1,1,1,0
28.0,43,1,1,2,1,1,1
23.7,21,0,3,1,1,4,2
25.6,28,1,1,2,1,3,1
24.4,40,1,2,4,3,3,1
25.8,20,1,0,0,1,0,0
34.2,43,1,4,2,1,1,2
28.4,32,1,0,3,2,4,0
21.1,30,1,2,3,0,3,2
27.8,43,1,3,0,2,1,2
22.2,40,0,1,0,3,4,1
28.7,30,0,0,4,4,3,0
24.4,48,0,0,0,0,0,0
25.3,22,0,4,2,1,1,2
24.6,42,0,1,4,4,3,1
23.6,42,0,4,4,4,2,2
23.7,31,0,4,0,1,0,2
25.7,38,0,3,1,2,1,1
26.7,19,0,0,0,3,4,0
29.0,46,1,1,2,1,1,1
24.6,32,1,3,2,1,1,2
22.8,28,0,3,4,0,2,2
20.9,47,1,3,2,1,2,1
23.1,26,1,2,2,1,1,2
19.9,18,0,2,2,1,3,1
20.7,16,0,3,0,0,0,2
28.1,42,0,2,1,1,1,1
29.4,19,1,1,0,0,1,0
23.1,56,1,0,3,1,3,0
20.8,15,0,1,2,1,2,1
31.9,55,1,0,0,2,0,0
21.9,37,1,2,2,2,1,1
23.5,33,1,1,0,0,1,1
30.9,28,0,4,0,2,0,2
25.3,39,1,3,4,3,2,2
20.3,34,1,0,4,0,2,0
27.6,48,1,0,0,0,2,0
30.1,36,1,4,3,0,1,2
20.9,36,1,4,2,1,1,2
20.0,30,1,3,1,0,2,1
20.8,34,1,2,3,2,4,1
23.6,38,0,1,0,3,0,1
26.6,15,0,1,0,0,0,0
22.3,18,1,1,0,0,0,0
21.4,43,0,2,0,0,1,2
23.4,37,1,3,0,2,1,2
26.2,32,1,1,1,1,2,0
22.2,35,1,0,2,1,2,0
27.9,39,0,0,3,4,0,0
22.2,28,1,0,1,4,1,1
19.0,25,1,4,0,0,4,2
25.4,37,0,4,0,0,0,2
27.9,23,0,2,4,0,2,0
23.7,39,1,1,0,0,1,0
21.7,15,0,4,4,1,2,2
24.0,47,0,0,2,0,1,0
22.1,40,1,4,4,2,1,2
24.5,38,1,0,2,1,2,0
27.0,46,1,1,0,2,0,0
21.7,54,0,2,2,1,3,1
26.0,47,0,3,2,1,1,2
31.2,15,0,3,2,1,3,1
23.9,19,1,0,2,1,1,0
20.1,27,0,4,0,2,4,2
22.4,35,0,4,2,1,2,2
18.6,41,1,0,4,1,3,0
20.2,26,1,1,4,3,3,0
24.1,37,1,0,2,1,3,0
24.8,25,0,1,0,4,4,1
24.9,27,1,2,0,2,1,1
23.3,18,0,2,3,0,2,1
20.4,23,0,0,3,4,0,0
25.6,18,1,2,4,1,0,2
22.2,23,1,4,2,2,1,2
21.7,47,1,1,4,2,1,0
21.4,23,1,3,3,2,2,2
19.3,66,1,3,2,1,1,2
21.9,40,0,2,3,3,1,1
19.3,37,0,1,0,0,0,0
28.2,24,0,4,2,0,1,2
25.5,43,1,3,4,4,2,2
28.4,28,0,4,0,2,1,2
27.2,36,1,4,3,2,1,2
28.2,65,1,3,1,1,3,1
28.3,33,0,3,3,0,1,2
18.0,48,0,2,3,1,4,1
20.0,26,1,1,4,0,1,1
22.9,34,0,0,3,0,4,0
22.1,56,1,1,2,4,3,1
29.0,27,0,0,0,3,3,0
26.4,56,0,3,3,2,4,2
20.6,43,0,4,2,2,2,2
22.8,28,0,1,3,0,1,1
21.2,42,0,4,0,2,0,2
